MOHCD Development ID,Development Name,Planning Approval Address,Marketing Address,Development Zip Code,Latitude and Longitude (Latitude),Latitude and Longitude (Longitude),Supervisor District,City Analysis Neighborhood,Planning Neighborhood,OCII Project Area,Lead Agency,Tenure,Development Type,Housing Program,Estimated/Actual Construction Start Date,# Income-Restricted Residential Units,# SRO Units,# Studios Units,# 1 Bedroom Units,# 2 Bedroom Units,# 3 Bedroom Units,# 4 Bedroom Units,# 5+ Bedroom Units,# Senior Units,# TAY Units,# Homeless Units,# LOSP Units,# VASH Units,# Market Rate Units,# Manager Units,Location
2016-041,Haight Street Apartments,398 Haight St,398 Haight St,94102,37.7725131,-122.4286695,5,Hayes Valley,Western Addition,Not in an OCII Project Area,MOHCD/SFRA,Rental,Rehabilitation,Multifamily Rental Program,05/15/2017,12,0,0,10,2,0,0,0,0,0,0,0,0,0,1,POINT (-122.4286695 37.7725131)
1998-019,Halibut Court,1432 Halibut Ct,1432 Halibut Ct,94130,37.82501,-122.37514,6,Treasure Island,Treasure Island/YBI,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Transitional,,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.37514 37.82501)
1994-005,Hamilton Family Transitional Program,1631 Hayes St,1631 Hayes St,94117,37.7740914,-122.4433178,5,Lone Mountain/USF,Haight Ashbury,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Transitional,,20,0,6,11,2,1,0,0,0,0,0,0,0,0,0,POINT (-122.4433178 37.7740914)
1990-008,Hamlin Hotel,385 Eddy St,385 Eddy St,94102,37.7835765,-122.4138755,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,09/16/2019,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4138755 37.7835765)
2001-012,Hartland Hotel,909 Geary St,909 Geary St,94109,37.78587,-122.41832,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.41832 37.78587)
1990-012,Hayes Adult Residence,890 Hayes St,890 Hayes St,94117,37.7761164,-122.4309314,5,Hayes Valley,Western Addition,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Multifamily Rental Program,,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4309314 37.7761164)
2017-051,Hayes Valley North HOPE VI,650 Linden St,650 Linden St,94102,37.7755949,-122.4288052,5,Hayes Valley,Western Addition,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,01/01/2021,83,0,0,0,34,39,10,0,0,0,0,0,0,0,0,POINT (-122.4288052 37.7755949)
2017-041,Hayes Valley South HOPE VI,401 Rose St,401 Rose St,94102,37.7728932,-122.4274032,5,Hayes Valley,Western Addition,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,06/29/2020,109,0,0,16,69,17,7,0,0,0,0,0,0,0,0,POINT (-122.4274032 37.7728932)
1995-019,Hazel Betsey,3554 17th St,3554 17th St,94110,37.7632715,-122.4250694,8,Mission,Mission,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Multifamily Rental Program,,9,0,6,3,0,0,0,0,0,0,9,0,0,0,0,POINT (-122.4250694 37.7632715)
1991-011,Herald Hotel Apartments,302-308 Eddy St,302-308 Eddy St,94102,37.784117,-122.4129058,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Multifamily Securities Program,,73,0,0,73,0,0,0,0,0,0,0,0,0,0,1,POINT (-122.4129058 37.784117)
1996-005,Heritage Homes,243 Rey St,243 Rey St,94134,37.7101251,-122.412526,10,Visitacion Valley,Visitacion Valley,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,,148,0,0,22,41,64,21,0,0,0,0,0,0,0,2,POINT (-122.412526 37.7101251)
2002-006,High Point Apartments,1828 Geneva Ave,1888 Geneva Ave,94134,37.7096327,-122.424348,11,Excelsior,Crocker Amazon,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,,6,0,0,1,3,2,0,0,0,0,0,0,0,0,0,POINT (-122.424348 37.7096327)
2013-030,Holly Courts,100 Appleton Ave,100 Appleton Ave,94110,37.7381947,-122.4229458,9,Bernal Heights,Bernal Heights,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Rental Assistance Demonstration Program,12/01/2015,118,0,0,48,59,11,0,0,0,0,0,0,0,0,0,POINT (-122.4229458 37.7381947)
2004-025,Hotel Essex,684 Ellis St,684 Ellis St,94109,37.7844963,-122.4174816,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,84,0,84,0,0,0,0,0,0,0,43,43,0,0,0,POINT (-122.4174816 37.7844963)
1996-013,Hotel Isabel,1091-1099 Mission St,1091-1099 Mission St,94103,37.779242,-122.4105273,6,South of Market,South of Market,Not in an OCII Project Area,SFRA,Rental,Rehabilitation,Multifamily Rental Program,,72,72,0,0,0,0,0,0,0,0,20,0,0,0,0,POINT (-122.4105273 37.779242)
2016-037,Howard Street Apartments,1601-1617 Howard St,1601-1617 Howard St,94103,37.771534,-122.4168023,6,Mission,South of Market,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,POINT (-122.4168023 37.771534)
2015-043,HQ,1532 Harrison St,1532 Harrison St,94103,37.7706231,-122.4135001,6,Mission,South of Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,12/01/2017,22,0,9,3,10,0,0,0,0,0,0,0,0,0,0,POINT (-122.4135001 37.7706231)
2007-019,Hunter Hotel,100 6th St,100 6th St,94103,37.7807476,-122.4087628,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4087628 37.7807476)
